SYMBOL,CLIENT_LIMIT,EXCHANGE
BANKINDIA,18174000,MSEI
BANKINDIA,18174000,NSE
BANKNIFTY,3739401,NSE
BDL,1378275,MSEI
BDL,1378275,BSE
BDL,1378275,NSE
BEL,46588950,BSE
BEL,46588950,MSEI
BEL,46588950,NSE
BHARATFORG,4010500,MSEI
BHARATFORG,4010500,BSE
BHARATFORG,4010500,NSE
BHARTIARTL,42185225,MSEI
BHARTIARTL,42185225,BSE
BHARTIARTL,42185225,NSE
BHEL,21847875,BSE
BHEL,21847875,MSEI
BHEL,21847875,NSE
BIOCON,10802500,BSE
BIOCON,10802500,MSEI
BIOCON,10802500,NSE
BLUESTARCO,1958450,BSE
BLUESTARCO,1958450,MSEI
BLUESTARCO,1958450,NSE
BOSCHLTD,100575,MSEI
BOSCHLTD,100575,BSE
BOSCHLTD,100575,NSE
BPCL,30600650,MSEI
BPCL,30600650,BSE
BPCL,30600650,NSE
BRITANNIA,1786625,BSE
BRITANNIA,1786625,MSEI
BRITANNIA,1786625,NSE
BSE,6118200,BSE
BSE,6118200,MSEI
BSE,6118200,NSE
CAMS,3719100,MSEI
CAMS,3719100,BSE
CAMS,3719100,NSE
CANBK,50429250,BSE
CANBK,50429250,MSEI
CANBK,50429250,NSE
CDSL,2664750,MSEI
CDSL,2664750,BSE
CDSL,2664750,NSE
CGPOWER,10185550,BSE
CGPOWER,10185550,MSEI
CGPOWER,10185550,NSE
CHOLAFIN,6485625,BSE
CHOLAFIN,6485625,MSEI
CHOLAFIN,6485625,NSE
CIPLA,7050750,BSE
CIPLA,7050750,MSEI
CIPLA,7050750,NSE
COALINDIA,34079400,BSE
COALINDIA,34079400,MSEI
COALINDIA,34079400,NSE
COCHINSHIP,1266000,MSEI
COCHINSHIP,1266000,BSE
COCHINSHIP,1266000,NSE
COFORGE,5233075,BSE
COFORGE,5233075,MSEI
COFORGE,5233075,NSE
COLPAL,1424500,MSEI
COLPAL,1424500,BSE
COLPAL,1424500,NSE
CONCOR,5163750,BSE
CONCOR,5163750,MSEI
CONCOR,5163750,NSE
CROMPTON,9657800,BSE
CROMPTON,9657800,MSEI
CROMPTON,9657800,NSE
CUMMINSIND,2037400,BSE
CUMMINSIND,2037400,MSEI
CUMMINSIND,2037400,NSE
DABUR,8267500,MSEI
DABUR,8267500,BSE
DABUR,8267500,NSE
DALBHARAT,1242475,BSE
DALBHARAT,1242475,MSEI
DALBHARAT,1242475,NSE
DELHIVERY,11227825,BSE
DELHIVERY,11227825,MSEI
DELHIVERY,11227825,NSE
DIVISLAB,1360000,MSEI
DIVISLAB,1360000,BSE
DIVISLAB,1360000,NSE
DIXON,650400,MSEI
DIXON,650400,BSE
DIXON,650400,NSE
DLF,9624450,MSEI
DLF,9624450,BSE
DLF,9624450,NSE
DMART,2272650,BSE
DMART,2272650,MSEI
DMART,2272650,NSE
DRREDDY,8707500,BSE
DRREDDY,8707500,MSEI
DRREDDY,8707500,NSE
EICHERMOT,1921900,BSE
EICHERMOT,1921900,MSEI
EICHERMOT,1921900,NSE
ETERNAL,137907325,BSE
ETERNAL,137907325,MSEI
ETERNAL,137907325,NSE
EXIDEIND,6885000,BSE
EXIDEIND,6885000,MSEI
EXIDEIND,6885000,NSE
FEDERALBNK,36587500,BSE
FEDERALBNK,36587500,MSEI
FEDERALBNK,36587500,NSE
FINNIFTY,20511,NSE
FOCIT,13027,BSE
FORCEMOT,73675,BSE
FORCEMOT,73675,NSE
FORCEMOT,73675,MSEI
FORTIS,5196375,MSEI
FORTIS,5196375,BSE
FORTIS,5196375,NSE
GAIL,44847150,MSEI
GAIL,44847150,BSE
GAIL,44847150,NSE
GLENMARK,2257875,BSE
GLENMARK,2257875,MSEI
GLENMARK,2257875,NSE
GMRAIRPORT,53330850,BSE
GMRAIRPORT,53330850,MSEI
GMRAIRPORT,53330850,NSE
GODFRYPHLP,634700,MSEI
GODFRYPHLP,634700,BSE
GODFRYPHLP,634700,NSE
GODREJCP,7205500,MSEI
GODREJCP,7205500,BSE
GODREJCP,7205500,NSE
GODREJPROP,2183675,MSEI
GODREJPROP,2183675,BSE
GODREJPROP,2183675,NSE
GRASIM,3805750,BSE
GRASIM,3805750,MSEI
GRASIM,3805750,NSE
GVT&D,1881875,BSE
GVT&D,1881875,MSEI
GVT&D,1881875,NSE
HAL,2845050,MSEI
HAL,2845050,BSE
HAL,2845050,NSE
HAVELLS,3816000,BSE
HAVELLS,3816000,MSEI
HAVELLS,3816000,NSE
HCLTECH,15815200,BSE
HCLTECH,15815200,MSEI
HCLTECH,15815200,NSE
HDFCAMC,3060600,BSE
HDFCAMC,3060600,MSEI
HDFCAMC,3060600,NSE
HDFCBANK,178300850,BSE
HDFCBANK,178300850,MSEI
HDFCBANK,178300850,NSE
HDFCLIFE,16108400,MSEI
HDFCLIFE,16108400,BSE
HDFCLIFE,16108400,NSE
HEROMOTOCO,1959000,MSEI
HEROMOTOCO,1959000,BSE
HEROMOTOCO,1959000,NSE
HINDALCO,21865200,BSE
HINDALCO,21865200,MSEI
HINDALCO,21865200,NSE
HINDPETRO,14391675,MSEI
HINDPETRO,14391675,BSE
HINDPETRO,14391675,NSE
HINDUNILVR,9720000,BSE
HINDUNILVR,9720000,MSEI
HINDUNILVR,9720000,NSE
HINDZINC,17897250,BSE
HINDZINC,17897250,MSEI
HINDZINC,17897250,NSE
HYUNDAI,2132900,BSE
HYUNDAI,2132900,MSEI
HYUNDAI,2132900,NSE
ICICIBANK,73055500,MSEI
ICICIBANK,73055500,BSE
ICICIBANK,73055500,NSE
ICICIGI,3232450,BSE
ICICIGI,3232450,MSEI
ICICIGI,3232450,NSE
ICICIPRULI,5911675,BSE
ICICIPRULI,5911675,MSEI
ICICIPRULI,5911675,NSE
IDEA,991143825,MSEI
IDEA,991143825,BSE
IDEA,991143825,NSE
IDFCFIRSTB,77399875,MSEI
IDFCFIRSTB,77399875,BSE
IDFCFIRSTB,77399875,NSE
IEX,13337100,MSEI
IEX,13337100,BSE
IEX,13337100,NSE
INDHOTEL,8974000,BSE
INDHOTEL,8974000,MSEI
INDHOTEL,8974000,NSE
INDIANB,5286000,BSE
INDIANB,5286000,MSEI
INDIANB,5286000,NSE
INDIGO,3388200,BSE
INDIGO,3388200,MSEI
INDIGO,3388200,NSE
INDUSINDBK,9335900,MSEI
INDUSINDBK,9335900,BSE
INDUSINDBK,9335900,NSE
INDUSTOWER,19274600,BSE
INDUSTOWER,19274600,MSEI
INDUSTOWER,19274600,NSE
INFY,48035600,BSE
INFY,48035600,MSEI
INFY,48035600,NSE
INOXWIND,14470400,MSEI
INOXWIND,14470400,BSE
INOXWIND,14470400,NSE
IOC,68488875,MSEI
IOC,68488875,BSE
IOC,68488875,NSE
IREDA,11900750,MSEI
IREDA,11900750,BSE
IREDA,11900750,NSE
IRFC,29029175,BSE
IRFC,29029175,MSEI
IRFC,29029175,NSE
ITC,125262600,BSE
ITC,125262600,MSEI
ITC,125262600,NSE
JINDALSTEL,4702500,BSE
JINDALSTEL,4702500,NSE
JINDALSTEL,4702500,MSEI
JIOFIN,50388700,BSE
JIOFIN,50388700,MSEI
JIOFIN,50388700,NSE
JSWENERGY,9188025,BSE
JSWENERGY,9188025,MSEI
JSWENERGY,9188025,NSE
JSWSTEEL,13325850,BSE
JSWSTEEL,13325850,MSEI
JSWSTEEL,13325850,NSE
JUBLFOOD,5877500,BSE
JUBLFOOD,5877500,MSEI
JUBLFOOD,5877500,NSE
KALYANKJIL,5752350,MSEI
KALYANKJIL,5752350,BSE
KALYANKJIL,5752350,NSE
KAYNES,467850,BSE
KAYNES,467850,MSEI
KAYNES,467850,NSE
KEI,932050,MSEI
KEI,932050,BSE
KEI,932050,NSE
KFINTECH,1995825,BSE
KFINTECH,1995825,MSEI
KFINTECH,1995825,NSE
KOTAKBANK,83570000,BSE
KOTAKBANK,83570000,MSEI
KOTAKBANK,83570000,NSE
KPITTECH,2462175,BSE
KPITTECH,2462175,MSEI
KPITTECH,2462175,NSE
LAURUSLABS,5870950,MSEI
LAURUSLABS,5870950,BSE
LAURUSLABS,5870950,NSE
LICHSGFIN,4518000,BSE
LICHSGFIN,4518000,MSEI
LICHSGFIN,4518000,NSE
LICI,6640200,BSE
LICI,6640200,MSEI
LICI,6640200,NSE
LODHA,4154375,MSEI
LODHA,4154375,BSE
LODHA,4154375,NSE
LT,13611325,MSEI
LT,13611325,BSE
LT,13611325,NSE
LTF,12777750,MSEI
LTF,12777750,BSE
LTF,12777750,NSE
LTM,1399350,BSE
LTM,1399350,MSEI
LTM,1399350,NSE
LUPIN,3644375,BSE
LUPIN,3644375,MSEI
LUPIN,3644375,NSE
M&M,12337000,MSEI
M&M,12337000,BSE
M&M,12337000,NSE
MANAPPURAM,8220000,BSE
MANAPPURAM,8220000,MSEI
MANAPPURAM,8220000,NSE
MANKIND,1693000,MSEI
MANKIND,1693000,BSE
MANKIND,1693000,NSE
MARICO,7959600,BSE
MARICO,7959600,MSEI
MARICO,7959600,NSE
MARUTI,1805950,BSE
MARUTI,1805950,MSEI
MARUTI,1805950,NSE
MAXHEALTH,11135250,BSE
MAXHEALTH,11135250,MSEI
MAXHEALTH,11135250,NSE
MAZDOCK,1136250,BSE
MAZDOCK,1136250,MSEI
MAZDOCK,1136250,NSE
MCX,3817575,MSEI
MCX,3817575,BSE
MCX,3817575,NSE
MFSL,3407600,BSE
MFSL,3407600,MSEI
MFSL,3407600,NSE
MIDCPNIFTY,1375722,NSE
MOTHERSON,69353550,MSEI
MOTHERSON,69353550,BSE
MOTHERSON,69353550,NSE
MOTILALOFS,2886100,BSE
MOTILALOFS,2886100,MSEI
MOTILALOFS,2886100,NSE
MPHASIS,1742400,BSE
MPHASIS,1742400,MSEI
MPHASIS,1742400,NSE
MUTHOOTFIN,1604900,BSE
MUTHOOTFIN,1604900,MSEI
MUTHOOTFIN,1604900,NSE
NAM-INDIA,2686250,BSE
NAM-INDIA,2686250,MSEI
NAM-INDIA,2686250,NSE
NATIONALUM,13421250,BSE
NATIONALUM,13421250,MSEI
NATIONALUM,13421250,NSE
NAUKRI,6068700,BSE
NAUKRI,6068700,MSEI
NAUKRI,6068700,NSE
NBCC,15483000,BSE
NBCC,15483000,MSEI
NBCC,15483000,NSE
NESTLEIND,8457000,BSE
NESTLEIND,8457000,MSEI
NESTLEIND,8457000,NSE
NHPC,49122600,BSE
NHPC,49122600,NSE
NHPC,49122600,MSEI
NIFTY,70879891,NSE
NIFTYNXT50,2658,NSE
NMDC,51698250,BSE
NMDC,51698250,MSEI
NMDC,51698250,NSE
NTPC,62281500,BSE
NTPC,62281500,MSEI
NTPC,62281500,NSE
NUVAMA,1252500,BSE
NUVAMA,1252500,MSEI
NUVAMA,1252500,NSE
NYKAA,19200000,MSEI
NYKAA,19200000,BSE
NYKAA,19200000,NSE
OBEROIRLTY,1761200,MSEI
OBEROIRLTY,1761200,BSE
OBEROIRLTY,1761200,NSE
OFSS,359700,MSEI
OFSS,359700,BSE
OFSS,359700,NSE
OIL,10575600,BSE
OIL,10575600,MSEI
OIL,10575600,NSE
ONGC,77571000,BSE
ONGC,77571000,MSEI
ONGC,77571000,NSE
PAGEIND,84040,BSE
PAGEIND,84040,MSEI
PAGEIND,84040,NSE
PATANJALI,5182575,BSE
PATANJALI,5182575,MSEI
PATANJALI,5182575,NSE
PAYTM,6923750,BSE
PAYTM,6923750,MSEI
PAYTM,6923750,NSE
PERSISTENT,1626500,MSEI
PERSISTENT,1626500,BSE
PERSISTENT,1626500,NSE
PETRONET,11249900,MSEI
PETRONET,11249900,BSE
PETRONET,11249900,NSE
PFC,21782800,MSEI
PFC,21782800,BSE
PFC,21782800,NSE
PGEL,2421550,BSE
PGEL,2421550,MSEI
PGEL,2421550,NSE
PHOENIXLTD,1927800,BSE
PHOENIXLTD,1927800,MSEI
PHOENIXLTD,1927800,NSE
PIDILITIND,3714500,MSEI
PIDILITIND,3714500,BSE
PIDILITIND,3714500,NSE
PIIND,1226575,MSEI
PIIND,1226575,BSE
PIIND,1226575,NSE
PNB,51576000,MSEI
PNB,51576000,BSE
PNB,51576000,NSE
PNBHOUSING,2811900,BSE
PNBHOUSING,2811900,MSEI
PNBHOUSING,2811900,NSE
POLICYBZR,6930350,BSE
POLICYBZR,6930350,MSEI
POLICYBZR,6930350,NSE
POLYCAB,869500,BSE
POLYCAB,869500,MSEI
POLYCAB,869500,NSE
POWERGRID,61772800,MSEI
POWERGRID,61772800,BSE
POWERGRID,61772800,NSE
POWERINDIA,191775,MSEI
POWERINDIA,191775,BSE
POWERINDIA,191775,NSE
PREMIERENE,2424500,BSE
PREMIERENE,2424500,MSEI
PREMIERENE,2424500,NSE
PRESTIGE,2523150,BSE
PRESTIGE,2523150,MSEI
PRESTIGE,2523150,NSE
RADICO,1200900,BSE
RADICO,1200900,MSEI
RADICO,1200900,NSE
RBLBANK,9271000,BSE
RBLBANK,9271000,MSEI
RBLBANK,9271000,NSE
RECLTD,18707850,BSE
RECLTD,18707850,MSEI
RECLTD,18707850,NSE
RELIANCE,74307500,BSE
RELIANCE,74307500,MSEI
RELIANCE,74307500,NSE
RVNL,8493100,BSE
RVNL,8493100,MSEI
RVNL,8493100,NSE
SAIL,21685800,MSEI
SAIL,21685800,BSE
SAIL,21685800,NSE
SBICARD,4435200,BSE
SBICARD,4435200,MSEI
SBICARD,4435200,NSE
SBILIFE,6555375,BSE
SBILIFE,6555375,MSEI
SBILIFE,6555375,NSE
SBIN,61039500,BSE
SBIN,61039500,NSE
SBIN,61039500,MSEI
SENSEX,1515909,BSE
SHREECEM,135100,BSE
SHREECEM,135100,MSEI
SHREECEM,135100,NSE
SHRIRAMFIN,21058950,MSEI
SHRIRAMFIN,21058950,BSE
SHRIRAMFIN,21058950,NSE
SIEMENS,1309700,MSEI
SIEMENS,1309700,BSE
SIEMENS,1309700,NSE
SOLARINDS,364450,BSE
SOLARINDS,364450,MSEI
SOLARINDS,364450,NSE
SONACOMS,6711775,BSE
SONACOMS,6711775,MSEI
SONACOMS,6711775,NSE
SRF,2211200,BSE
SRF,2211200,MSEI
SRF,2211200,NSE
SUNPHARMA,16383150,BSE
SUNPHARMA,16383150,MSEI
SUNPHARMA,16383150,NSE
SUPREMEIND,892150,BSE
SUPREMEIND,892150,MSEI
SUPREMEIND,892150,NSE
SUZLON,181584600,BSE
SUZLON,181584600,MSEI
SUZLON,181584600,NSE
SWIGGY,38591450,BSE
SWIGGY,38591450,MSEI
SWIGGY,38591450,NSE
TATACONSUM,8935850,MSEI
TATACONSUM,8935850,BSE
TATACONSUM,8935850,NSE
TATAELXSI,524125,BSE
TATAELXSI,524125,MSEI
TATAELXSI,524125,NSE
TATAPOWER,25470700,BSE
TATAPOWER,25470700,MSEI
TATAPOWER,25470700,NSE
TATASTEEL,106969500,BSE
TATASTEEL,106969500,MSEI
TATASTEEL,106969500,NSE
TCS,15322725,BSE
TCS,15322725,MSEI
TCS,15322725,NSE
TECHM,8806800,MSEI
TECHM,8806800,BSE
TECHM,8806800,NSE
TIINDIA,1262800,MSEI
TIINDIA,1262800,BSE
TIINDIA,1262800,NSE
TITAN,4446925,BSE
TITAN,4446925,MSEI
TITAN,4446925,NSE
TMPV,31393600,MSEI
TMPV,31393600,BSE
TMPV,31393600,NSE
TORNTPHARM,1538375,BSE
TORNTPHARM,1538375,MSEI
TORNTPHARM,1538375,NSE
TRENT,3956400,BSE
TRENT,3956400,MSEI
TRENT,3956400,NSE
TVSMOTOR,3542175,BSE
TVSMOTOR,3542175,MSEI
TVSMOTOR,3542175,NSE
ULTRACEMCO,1577300,BSE
ULTRACEMCO,1577300,MSEI
ULTRACEMCO,1577300,NSE
UNIONBANK,28904100,BSE
UNIONBANK,28904100,MSEI
UNIONBANK,28904100,NSE
UNITDSPR,4726800,BSE
UNITDSPR,4726800,MSEI
UNITDSPR,4726800,NSE
UNOMINDA,2739550,BSE
UNOMINDA,2739550,MSEI
UNOMINDA,2739550,NSE
UPL,8418615,BSE
UPL,8418615,MSEI
UPL,8418615,NSE
VBL,20577225,MSEI
VBL,20577225,BSE
VBL,20577225,NSE
VEDL,25498950,MSEI
VEDL,25498950,BSE
VEDL,25498950,NSE
VMM,41971900,BSE
VMM,41971900,MSEI
VMM,41971900,NSE
VOLTAS,3459375,BSE
VOLTAS,3459375,MSEI
VOLTAS,3459375,NSE
WAAREEENER,1545075,BSE
WAAREEENER,1545075,MSEI
WAAREEENER,1545075,NSE
WIPRO,42894000,BSE
WIPRO,42894000,MSEI
WIPRO,42894000,NSE
YESBANK,299524100,BSE
YESBANK,299524100,NSE
YESBANK,299524100,MSEI
ZYDUSLIFE,3614400,BSE
ZYDUSLIFE,3614400,NSE
ZYDUSLIFE,3614400,MSEI
